FCW_Number,Time,Field_DO_mgL,Field_Cond_µS/cm,Field_Temp_C
1839,12:44,6.61,84,9.3
1840,13:05,6.5,74.55,16.5
1841,13:46,6.93,48.49,16.9
1842,14:05,7.05,49.54,14
1890,9:20,NA,NA,NA
1891,9:40,NA,NA,NA
1892,10:20,NA,NA,NA
1894,11:25,NA,NA,NA
1895,11:50,NA,NA,NA
1896,12:17,NA,NA,NA
1897,12:50,NA,NA,NA
1898,13:15,NA,NA,NA
1899,13:50,NA,NA,NA
1900,14:04,NA,NA,NA
1901,9:42,NA,NA,NA
1902,10:50,NA,NA,NA
1903,11:37:00 AM,NA,NA,NA
1904,13:09,NA,NA,NA
1905,12:58,NA,NA,NA
1906,14:08,NA,NA,NA
1908,16:26,NA,NA,NA
1909,15:59,NA,NA,NA
1910,9:10,7.73,51.24,10.6
1911,9:25,8.35,49.12,7.5
1912,10:00,8.18,51.99,9.8
1913,10:30,8.3,61.18,10.7
1914,11:15,8.3,45.53,9
1915,11:15,NA,NA,NA
1916,11:45,8.24,59.82,11.7
1917,12:50,8.08,62.17,14.1
1918,13:30,8.35,67.61,15.6
1919,9:30,NA,NA,NA
1920,9:30,NA,NA,NA
1921,10:10,NA,NA,NA
1922,10:56,NA,NA,NA
1923,11:15,NA,NA,NA
1924,12:14,NA,NA,NA
1926,13:00,NA,NA,NA
1927,13:00,NA,NA,NA
1928,13:30,NA,NA,NA
1929,13:45,NA,NA,NA
1930,14:15,NA,NA,NA
1931,14:00,NA,NA,NA
1932,9:15,8.56,34.11,NA
1934,10:00,7.55,37.45,9
1935,10:30,8.64,23.34,4.6
1937,11:00,7.96,38,8.5
1938,11:30,7.82,37.85,11.6
1939,11:49,7.36,37.42,12.2
1940,12:20,7.94,40.39,10
1941,13:10,8.28,44.39,8.28
1942,9:41,7.69,62.4,9.5
1943,10:16,7.79,0.33,9.8
1944,11:15,7.55,47.12,7.9
1945,11:45,7.85,50.96,7.9
1946,12:35,8.32,80.57,5.4
1947,13:21,7.16,51.48,10.9
1948,13:50,7.56,51.99,10
1950,14:50,6.88,77.95,12.3
1951,15:40,7.75,50.03,11.3
1952,16:04,7.72,50.93,10
1953,10:00,NA,NA,NA
1954,11:10,NA,NA,NA
1955,11:45,NA,NA,NA
1956,12:15,NA,NA,NA
1957,13:00,NA,NA,NA
1958,13:30,NA,NA,NA
1960,14:30,NA,NA,NA
1961,15:00,NA,NA,NA
1962,9:10,8.75,60.8,5.8
1963,9:45,8.96,48.3,4.8
1964,10:10,9.05,57.74,5.5
1965,10:30,8.69,78.58,8.5
1966,11:20,8.84,47.45,6.4
1967,12:00,8.64,71.43,9.2
1968,13:10,8.88,74.65,9.9
1969,13:45,8.76,108.9,10.8
1970,9:45,7.95,62.46,8.4
1971,10:00,8.15,76.69,4.5
1972,10:45,7.84,47.28,6.2
1973,11:00,8.24,50.7,6.7
1974,11:50,8.82,82.63,2.9
1975,12:15,7.16,52.12,9
1976,12:45,8.52,59,5.3
1977,13:00,7.28,78.71,10.1
1978,13:20,6.85,77.25,10.6
1979,13:30,7.72,51.4,9.3
1980,14:10,7.9,51.5,9.1
1981,9:55,NA,NA,NA
1982,10:20,NA,NA,NA
1983,11:15,NA,NA,NA
1985,12:57,NA,NA,NA
1986,13:00,NA,NA,NA
1987,13:00,NA,NA,NA
1988,13:00,NA,NA,NA
1989,13:37,NA,NA,NA
1990,13:45,NA,NA,NA
1991,14:10,NA,NA,NA
1992,14:40,NA,NA,NA
1993,14:56,NA,NA,NA
1994,9:10,NA,NA,NA
1995,9:40,NA,NA,NA
1996,10:12,NA,NA,NA
1997,11:20,NA,NA,NA
1998,11:48,NA,NA,NA
1999,12:07,NA,NA,NA
2000,13:04,NA,NA,NA
2001,13:04,NA,NA,NA
2002,14:10,NA,NA,NA
2003,14:30,NA,NA,NA
2004,9:00,NA,NA,NA
2005,9:25,NA,NA,NA
2006,9:55,NA,NA,NA
2007,10:20,NA,NA,NA
2008,11:00,NA,NA,NA
2010,11:50,NA,NA,NA
2011,12:45,NA,NA,NA
2012,13:15,NA,NA,NA
2013,9:32,NA,NA,NA
2014,9:30,NA,NA,NA
2015,10:45,NA,NA,NA
2016,10:39,NA,NA,NA
2017,11:40,NA,NA,NA
2019,12:45,NA,NA,NA
2020,13:00,NA,NA,NA
2021,13:00,NA,NA,NA
2022,13:29,NA,NA,NA
2023,12:45:00 PM,NA,NA,NA
2024,14:20,NA,NA,NA
2030,9:12,NA,NA,NA
2031,9:32,NA,NA,NA
2032,10:20:00 AM,NA,NA,NA
2033,10:54:00 AM,NA,NA,NA
2034,11:32:00 AM,NA,NA,NA
2035,12:12,NA,NA,NA
2036,12:37,NA,NA,NA
2037,9:13,NA,NA,NA
2038,10:00,NA,NA,NA
2039,10:43:00 AM,NA,NA,NA
2040,12:03,NA,NA,NA
2041,12:03,NA,NA,NA
2043,13:49,NA,NA,NA
2044,14:17,NA,NA,NA
2047,11:30,NA,NA,NA
2049,11:50,NA,NA,NA
2054,15:00,NA,NA,NA
2055,15:15,NA,NA,NA
2065,8:30:00 AM,NA,NA,NA
2066,9:00:00 AM,NA,NA,NA
2067,9:35:00 AM,NA,NA,NA
2068,10:00:00 AM,NA,NA,NA
2069,10:20:00 AM,NA,NA,NA
2070,10:45:00 AM,NA,NA,NA
2071,11:45:00 AM,NA,NA,NA
2072,10:00:00 AM,NA,NA,NA
2073,10:30:00 AM,NA,NA,NA
2074,11:00:00 AM,NA,NA,NA
2075,11:30:00 AM,NA,NA,NA
2076,12:00:00 PM,NA,NA,NA
2078,10:15:00 AM,NA,NA,NA
2079,10:15:00 AM,NA,NA,NA
2080,11:15:00 AM,NA,NA,NA
2081,11:50:00 AM,NA,NA,NA
2082,12:20:00 PM,NA,NA,NA
2083,13:00:00 PM,NA,NA,NA
2084,13:30:00 PM,NA,NA,NA
2092,9:35,8.71,76.15,4.6
2093,9:48,9.92,36.68,1.7
2094,10:17,9.9,43.57,2.6
2095,11:05,9.21,49.87,5.6
2096,11:45,8.56,47.28,7.6
2097,12:30,8.99,51.53,7.7
2098,13:20,9.02,55.44,9.2
2099,13:40,8.78,62.9,9.9
2100,10:10,NA,NA,NA
2101,10:49,NA,NA,NA
2102,11:05,NA,NA,NA
2103,11:43,NA,NA,NA
2104,12:26,NA,NA,NA
2105,13:35,NA,NA,NA
2106,13:57,NA,NA,NA
2107,14:11,NA,NA,NA
2108,14:31,NA,NA,NA
2110,14:47,NA,NA,NA
2111,14:47,NA,NA,NA
2112,9:00,8.99,52.63,1.8
2113,10:00,8.16,57.09,1.8
2114,10:20,9.01,58.63,2.6
2115,10:20,9.01,58.63,2.6
2116,10:40,6.63,76.51,4.5
2117,11:15,9.29,64.31,10.2
2118,11:45,9.11,51.42,4.1
2119,12:15,8.51,58.6,5.1
2120,12:15,8.51,58.6,5.1
2121,9:00:00 AM,NA,NA,NA
2122,9:15:00 AM,NA,NA,NA
2123,9:40:00 AM,NA,NA,NA
2124,10:00:00 AM,NA,NA,NA
2125,10:15:00 AM,NA,NA,NA
2126,10:30:00 AM,NA,NA,NA
2127,10:30:00 AM,NA,NA,NA
2128,10:45:00 AM,NA,NA,NA
2129,11:20:00 AM,NA,NA,NA
2131,12:00:00 PM,NA,NA,NA
2132,12:45:00 PM,NA,NA,NA
2133,13:30:00 PM,NA,NA,NA
2134,13:30:00 PM,NA,NA,NA
2146,9:20:00 AM,NA,NA,NA
2147,10:10:00 AM,NA,NA,NA
2148,10:30:00 AM,NA,NA,NA
2149,10:55:00 AM,NA,NA,NA
2150,11:15:00 AM,NA,NA,NA
2151,11:15:00 AM,NA,NA,NA
2152,12:08:00 PM,NA,NA,NA
2153,12:45:00 PM,NA,NA,NA
2154,12:45:00 PM,NA,NA,NA
2164,9:50:00 AM,NA,NA,NA
2165,10:15:00 AM,NA,NA,NA
2166,11:15:00 AM,NA,NA,NA
2167,11:30:00 AM,NA,NA,NA
2168,12:30:00 PM,NA,NA,NA
2169,12:55:00 PM,NA,NA,NA
2170,13:15:00 PM,NA,NA,NA
2171,12:25:00 PM,NA,NA,NA
2172,13:30:00 PM,NA,NA,NA
2173,13:45:00 PM,NA,NA,NA
2174,14:00:00 PM,NA,NA,NA
2175,14:40:00 PM,NA,NA,NA
2176,15:00:00 PM,NA,NA,NA
2177,15:30:00 PM,NA,NA,NA
2178,15:50:00 PM,NA,NA,NA
2179,16:10:00 PM,NA,NA,NA
2187,10:30:00 AM,NA,NA,NA
2188,10:00:00 AM,NA,NA,NA
2189,10:50:00 AM,NA,NA,NA
2190,11:15:00 AM,NA,NA,NA
2191,12:00:00 PM,NA,NA,NA
2192,12:30:00 PM,NA,NA,NA
2193,13:00:00 PM,NA,NA,NA
2194,13:00:00 PM,NA,NA,NA
2195,13:10:00 PM,NA,NA,NA
2196,13:08:00 PM,NA,NA,NA
2197,14:05:00 PM,NA,NA,NA
2198,14:30:00 PM,NA,NA,NA
2199,14:55:00 PM,NA,NA,NA
2200,15:20:00 PM,NA,NA,NA
2201,15:50:00 PM,NA,NA,NA
2202,16:00:00 PM,NA,NA,NA
2203,16:20:00 PM,NA,NA,NA
2204,9:35,8.75,22.71,4
2205,9:35,8.75,22.71,4
2206,10:20,8.27,29.73,8.5
2207,10:40,9,18.47,3.2
2208,11:00,8.11,30.09,7.5
2209,11:25,8.62,32.54,11.1
2210,11:25,7.93,33.03,7
2211,12:30,8.04,29.69,8.4
2212,12:30,NA,NA,NA
2213,13:10,6.35,34.64,8.2
2214,9:00,NA,NA,NA
2215,9:15,NA,NA,NA
2216,9:50,8.32,42.25,8
2217,10:10,8.95,26.71,6.1
2218,10:35,8.73,33.72,7.3
2219,11:00,NA,NA,NA
2220,11:15:00 AM,NA,NA,NA
2221,11:40:00 AM,NA,NA,NA
2222,12:20,8.19,39.97,10.2
2223,12:55,7.95,40.94,12.4
2224,13:40,8.09,44.06,14.1
2225,14:20,7.87,58.45,14.8
2246,10:15,NA,NA,NA
2247,10:30,NA,NA,NA
2248,11:05,7.64,40.69,11.6
2249,11:40,8.19,32.78,9.6
2250,12:15,7.97,35.04,11
2251,12:40,NA,NA,NA
2252,12:55,NA,NA,NA
2253,13:20,NA,NA,NA
2254,13:50,7.7,41.43,13.9
2255,14:20,7.7,42.7,14.3
2256,15:00,7.69,46.63,16.1
2257,15:35,7.52,61.03,17.4
2258,10:30,7.41,36.84,12.7
2259,11:00,7.5,38.6,11.1
2260,11:50,6.58,29.59,17.6
2261,12:05,6.72,31.05,16.4
2262,13:00,7.18,53.21,12
2263,13:34,NA,NA,NA
2264,13:34,8,45.02,14.7
2265,14:20,7.67,44.28,10.5
2266,14:20,NA,NA,NA
2267,14:56,6.02,70.19,7.6
2268,15:12,7.43,66.09,18
2269,15:47,7.6,38.89,16.9
2270,15:52,7.67,42.55,9.9
2272,10:03,NA,NA,NA
2273,10:20,NA,NA,NA
2274,10:40,NA,NA,NA
2275,11:18,NA,NA,NA
2276,11:30,NA,NA,NA
2277,14:18,NA,NA,NA
2278,14:45,NA,NA,NA
2279,9:40,NA,NA,NA
2280,10:30,NA,NA,NA
2281,10:45,NA,NA,NA
2282,11:10,NA,NA,NA
2283,11:30,NA,NA,NA
2284,11:45,NA,NA,NA
2285,12:15,NA,NA,NA
2286,12:45,NA,NA,NA
2287,13.21,NA,NA,NA
2288,14.44,NA,NA,NA
2289,15:20,NA,NA,NA
2290,15:20,NA,NA,NA
2291,14:40,NA,NA,NA
2373,9:40:00 AM,NA,NA,NA
2374,9:50:00 AM,NA,NA,NA
2375,10:30:00 AM,NA,NA,NA
2376,10:40:00 AM,NA,NA,NA
2377,11:13:00 AM,NA,NA,NA
2379,11:35:00 AM,NA,NA,NA
2380,12:00:00 PM,NA,NA,NA
2381,12:30:00 PM,NA,NA,NA
2382,13:00:00 PM,NA,NA,NA
2383,13:35:00 PM,NA,NA,NA
2384,14:05:00 PM,NA,NA,NA
2394,10:00:00 AM,NA,NA,NA
2395,10:20:00 AM,NA,NA,NA
2396,10:20:00 AM,NA,NA,NA
2397,11:30:00 AM,NA,NA,NA
2398,12:40:00 PM,NA,NA,NA
2399,13:30:00 PM,NA,NA,NA
2400,13:50:00 PM,NA,NA,NA
2401,14:10:00 PM,NA,NA,NA
2402,14:20:00 PM,NA,NA,NA
2403,14:35:00 PM,NA,NA,NA
2404,15:05:00 PM,NA,NA,NA
2405,15:05:00 PM,NA,NA,NA
2406,15:20:00 PM,NA,NA,NA
2440,10:06:00 AM,NA,NA,NA
2441,11:10:00 AM,NA,NA,NA
2442,11:30:00 AM,NA,NA,NA
2443,12:00:00 PM,NA,NA,NA
2444,12:20:00 PM,NA,NA,NA
2445,13:00:00 PM,NA,NA,NA
2446,13:00:00 PM,NA,NA,NA
2447,13:36:00 PM,NA,NA,NA
2448,14:25:00 PM,NA,NA,NA
2450,15:30:00 PM,NA,NA,NA
2451,15:50:00 PM,NA,NA,NA
2452,16:15:00 PM,NA,NA,NA
2453,17:00:00 PM,NA,NA,NA
2454,8:25:00 AM,NA,NA,NA
2455,9:10:00 AM,NA,NA,NA
2456,9:50:00 AM,NA,NA,NA
2457,11:10,NA,NA,NA
2458,11:10,NA,NA,NA
2459,12:10:00 PM,NA,NA,NA
2460,12:45:00 PM,NA,NA,NA
2479,9:20:00 AM,NA,NA,NA
2480,9:35,NA,NA,NA
2481,10:30:00 AM,NA,NA,NA
2482,10:55:00 AM,NA,NA,NA
2483,11:30:00 AM,NA,NA,NA
2484,12:17:00 PM,NA,NA,NA
2485,13:00:00 PM,NA,NA,NA
2486,13:00:00 PM,NA,NA,NA
2487,12:20:00 PM,NA,NA,NA
2488,13:40:00 PM,NA,NA,NA
2489,14:20:00 PM,NA,NA,NA
2490,14:30:00 PM,NA,NA,NA
2491,9:30:00 AM,NA,NA,NA
2492,10:00:00 AM,NA,NA,NA
2493,10:30:00 AM,NA,NA,NA
2494,10:45:00 AM,NA,NA,NA
2495,10:45:00 AM,NA,NA,NA
2496,11:15:00 AM,NA,NA,NA
2497,11:35:00 AM,NA,NA,NA
2498,12:30:00 PM,NA,NA,NA
2499,13:05:00 PM,NA,NA,NA
2500,8:30:00 AM,NA,NA,NA
2501,9:05:00 AM,NA,NA,NA
2502,9:30:00 AM,NA,NA,NA
2503,9:45:00 AM,NA,NA,NA
